03.04.01.01 Proustite
03.04.01.02 Pyrargyrite
03.04.02.01 Xanthoconite
03.04.02.02 Pyrostilpnite
03.04.03.01 Seligmannite
03.04.03.02 Bournonite
03.04.03.03 Soucekite
03.04.04.01 Lapieite
03.04.04.02 Muckeite
03.04.04.03 Malyshevite
03.04.04.04 Lisiguangite
03.04.05.01 Aikinite
03.04.05.02 Krupkaite
03.04.05.03 Gladite
03.04.05.04 Hammarite
03.04.05.05 Friedrichite
03.04.05.06 Pekoite
03.04.05.07 Lindstromite
03.04.05.08 Salzburgite
03.04.06.01 Marrite
03.04.06.02 Freieslebenite
03.04.07.02 Mgriite
03.04.08.01 Wittichenite
03.04.08.02 Skinnerite
03.04.08.03 Moeloite
03.04.09.01 Ellisite
03.04.10.01 Christite
03.04.10.02 Laffittite
03.04.10.03 IMA2007-010
03.04.11.01 Routhierite
03.04.11.02 Stalderite
03.04.11.03 Quadratite
03.04.12.01 Samsonite
03.04.12.04 Manganoquadratite
03.04.13.01 Nowackiite
03.04.13.02 Aktashite
03.04.13.03 Gruzdevite
03.04.14.01 Galkhaite
03.04.15.01 Lillianite
03.04.15.02 Bursaite
03.04.15.03 Gustavite
03.04.15.04 Andorite
03.04.15.04 AndoriteVI
03.04.15.05 Uchucchacuaite
03.04.15.06 Ramdohrite
03.04.15.07 Roshchinite
03.04.15.08 Fizelyite
03.04.16.01 Xilingolite
03.04.17.01 Kirkiite
03.04.18.01 Erniggliite
03.05.01.01 Neyite
03.05.01.02 IMA2008-053
03.05.02.01 Boulangerite
03.05.02.02 Falkmanite
03.05.03.01 Sterryite
03.05.04.01 Diaphorite
03.05.05.01 Schirmerite
03.05.06.01 Ourayite
03.05.07.01 Madocite
03.05.08.01 Wallisite
03.05.08.02 Hatchite
03.05.09.01 Cosalite
03.05.09.02 Veenite
03.05.09.03 Dufrenoysite
03.05.10.01 Owyheeite
03.05.11.01 Imhofite
03.05.11.02 Gabrielite
03.05.12.01 Izoklakeite
03.05.12.02 Giessenite
03.05.13.01 Jaskolskiite
03.05.14.01 Zoubekite
03.05.15.01 Watanabeite
03.06.01.01 Proudite
03.06.02.01 Eskimoite
03.06.03.01 Treasurite
03.06.04.01 Playfairite
03.06.05.01 Cannizzarite
03.06.05.02 Wittite
03.06.06.01 Launayite
03.06.07.01 Jamesonite
03.06.07.02 Benavidesite
03.06.08.01 Dadsonite
03.06.09.01 Parajamesonite
03.06.10.01 Eclarite
03.06.11.01 Vikingite
03.06.12.01 Sorbyite
03.06.13.01 Baumhauerite
03.06.13.02 Baumhauerite2a
03.06.14.01 Sinnerite
03.06.15.01 Berryite
03.06.16.01 Robinsonite
03.06.17.01 Liveingite
03.06.18.01 Weibullite
03.06.19.01 Kobellite
03.06.19.02 Tintinaite
03.06.20.01 Fuloppite
03.06.20.02 Plagionite
03.06.20.03 Heteromorphite
03.06.20.04 Semseyite
03.06.20.05 Rayite
03.06.21.01 Pizgrischite
03.06.21.02 Rouxelite
03.06.22.01 Emilite
03.06.23.01 Vurroite
03.07.01.01 Matildite
03.07.01.02 Bohdanowiczite
